id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
485811,0,"['Action', 'Horreur', 'Science-Fiction']",en,51.027,2018-09-07,0,117,5.663,263
10867,0,['Drame'],it,50.973,2000-03-16,14493284,109,7.426,1908
998845,0,"['Drame', 'Histoire']",no,50.964,2023-01-27,0,101,7.9,8
9757,10000000,['Comédie'],en,50.928,2007-02-08,159313561,101,5.595,2032
18,90000000,"['Aventure', 'Fantastique', 'Action', 'Thriller', 'Science-Fiction']",en,50.927,1997-05-02,263920180,126,7.525,9635
278927,175000000,"['Familial', 'Aventure', 'Drame', 'Fantastique', 'Animation']",en,50.854,2016-04-07,966550600,106,6.858,7484
976573,0,"['Animation', 'Familial', 'Romance', 'Comédie', 'Fantastique']",en,50.843,2023-06-15,0,93,0.0,0
14128,5000000,"['Familial', 'Animation', 'Romance', 'Fantastique']",en,50.842,2002-02-23,0,73,6.105,1278
353486,90000000,"['Aventure', 'Action', 'Comédie', 'Fantastique']",en,50.765,2017-12-09,962102237,119,6.824,12454
482008,0,"['Romance', 'Drame']",ko,50.718,2017-02-14,0,74,3.0,1
834734,0,['Thriller'],es,50.668,2022-05-12,0,93,2.0,1
98,103000000,"['Action', 'Drame', 'Aventure']",en,50.617,2000-05-04,465361176,155,8.205,16366
73723,70000000,"['Animation', 'Familial']",en,50.615,2012-03-01,348840316,87,6.47,3003
25769,0,"['Action', 'Drame', 'Horreur', 'Science-Fiction', 'Thriller']",en,50.526,2009-09-04,5802422,84,6.081,1248
892527,0,"['Aventure', 'Comédie', 'Familial']",fr,50.471,2022-02-16,2551835,100,6.541,146
18406,1250000,"['Action', 'Crime', 'Drame', 'Thriller']",en,50.435,1983-05-27,6149983,95,5.19,42
7555,50000000,"['Action', 'Thriller']",en,50.326,2008-01-24,113244290,90,6.638,3394
158852,190000000,"['Aventure', 'Familial', 'Mystère', 'Science-Fiction']",en,50.316,2015-05-19,209154322,130,6.247,6460
550093,0,"['Animation', 'Action', 'Fantastique']",ja,50.297,2018-12-01,0,0,6.5,2
336843,62000000,"['Science-Fiction', 'Action', 'Aventure', 'Thriller']",en,50.26,2018-01-10,288175335,142,7.1,6914
316727,10000000,"['Action', 'Horreur', 'Thriller']",en,50.226,2016-06-29,118587880,105,6.401,4786
82633,26000000,"['Crime', 'Drame', 'Western']",en,50.187,2012-08-29,53676580,116,7.0,2760
272,150000000,"['Action', 'Crime', 'Drame']",en,50.069,2005-06-10,374218673,140,7.695,18952
4922,150000000,"['Drame', 'Fantastique', 'Romance']",en,50.063,2008-12-25,335802786,166,7.576,11521
619803,0,"['Action', 'Crime', 'Aventure', 'Thriller']",ko,50.038,2022-05-18,100130688,106,7.2,149
11324,80000000,"['Drame', 'Thriller', 'Mystère']",en,49.976,2010-02-14,294800000,138,8.197,21578
1374,31000000,['Drame'],en,49.961,1985-11-21,300473716,91,7.075,3838
8363,20000000,['Comédie'],en,49.901,2007-03-20,170812526,113,7.216,6345
43593,24000000,"['Comédie', 'Horreur']",en,49.878,2010-08-20,83188165,85,5.384,1926
38055,130000000,"['Animation', 'Action', 'Comédie', 'Familial', 'Science-Fiction']",en,49.874,2010-10-28,321885765,96,6.947,6091
597922,2800000,"['Drame', 'Comédie', 'Guerre', 'Histoire']",en,49.86,2022-09-30,0,126,7.745,486
527776,0,['Drame'],en,49.78,2019-08-22,0,124,7.685,216
257344,88000000,"['Action', 'Comédie', 'Science-Fiction']",en,49.761,2015-07-16,244874809,121,5.71,6847
495764,75000000,"['Action', 'Crime']",en,49.742,2020-02-05,205372791,108,6.972,9376
27098,0,"['Drame', 'Romance', 'Guerre']",sv,49.737,1995-03-08,0,125,6.475,100
280092,10000000,"['Horreur', 'Thriller', 'Mystère']",en,49.714,2015-05-28,112983889,97,6.286,2955
450465,20000000,"['Thriller', 'Drame', 'Science-Fiction']",en,49.657,2019-01-16,246941965,129,6.68,7520
670,3000000,"['Drame', 'Thriller', 'Mystère', 'Action']",ko,49.649,2003-11-21,15194593,120,8.268,7419
71672,3000000,"['Horreur', 'Thriller']",en,49.622,2011-10-17,0,90,5.738,926
