id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
640,52000000,"['Drame', 'Crime']",en,67.361,2002-12-16,352114312,141,7.964,13805
34295,0,"['Animation', 'Fantastique', 'Aventure']",ja,67.253,2003-12-20,0,99,7.8,122
928391,0,['Horreur'],en,67.145,2022-09-12,0,100,5.5,20
297802,160000000,"['Action', 'Aventure', 'Fantastique']",en,67.144,2018-12-07,1148528393,143,6.898,12554
294272,65000000,"['Aventure', 'Familial', 'Fantastique']",en,67.091,2016-08-10,143695338,102,6.376,2009
9479,24000000,"['Fantastique', 'Animation', 'Familial']",en,66.974,1993-10-09,75634409,75,7.839,8216
343668,104000000,"['Action', 'Aventure', 'Comédie']",en,66.963,2017-09-20,410902662,141,6.976,9252
604822,0,"['Action', 'Aventure', 'Crime']",zh,66.919,2020-09-30,27900000,107,6.319,443
795514,0,['Drame'],en,66.838,2021-03-17,0,92,7.696,749
39100,0,"['Action', 'Animation', 'Science-Fiction']",ja,66.789,1990-03-10,18000000,60,6.464,412
503736,0,"['Action', 'Crime', 'Horreur', 'Thriller']",en,66.761,2021-05-14,780000,148,6.26,3493
39103,0,"['Action', 'Animation', 'Science-Fiction']",ja,66.754,1992-03-07,19581369,44,6.6,534
18823,125000000,"['Aventure', 'Fantastique', 'Action']",en,66.698,2010-03-31,493214993,106,5.863,5709
24752,0,"['Action', 'Animation', 'Science-Fiction']",ja,66.691,1991-07-20,16331742,50,6.9,547
921145,0,['Horreur'],de,66.648,,0,0,6.125,4
39105,0,"['Action', 'Animation', 'Science-Fiction']",ja,66.454,1993-07-10,20100000,49,7.048,457
9836,100000000,"['Animation', 'Comédie', 'Familial']",en,66.445,2006-11-16,384335608,108,6.16,4591
49530,40000000,"['Action', 'Thriller', 'Science-Fiction']",en,66.416,2011-10-27,173930596,109,6.952,10220
10567,127500000,"['Familial', 'Animation']",en,66.309,2000-05-19,354248063,82,6.525,2215
381288,9000000,"['Horreur', 'Thriller']",en,66.208,2016-11-15,278454358,117,7.333,15923
454983,0,"['Romance', 'Comédie']",en,66.204,2018-05-11,0,105,7.244,6808
339984,16000000,"['Familial', 'Drame']",en,66.101,2016-03-17,73983359,109,7.445,1071
46195,90000000,"['Animation', 'Aventure', 'Comédie', 'Familial']",en,65.936,2011-04-03,484635760,90,6.716,5988
986088,0,"['Science-Fiction', 'Thriller', 'Mystère']",en,65.921,2022-09-23,0,89,5.4,22
297762,149000000,"['Action', 'Aventure', 'Fantastique']",en,65.801,2017-05-30,822854286,141,7.239,18560
11351,17000000,['Horreur'],en,65.779,2003-08-08,63102666,104,6.119,1394
140300,145000000,"['Action', 'Aventure', 'Animation', 'Comédie', 'Familial']",en,65.627,2016-01-23,521170825,95,6.866,5126
118340,170000000,"['Action', 'Science-Fiction', 'Aventure']",en,65.625,2014-07-30,772776600,121,7.903,25766
27578,80000000,"['Thriller', 'Aventure', 'Action']",en,65.559,2010-08-03,274470394,105,6.214,6986
968051,0,"['Horreur', 'Mystère']",en,65.539,2023-09-07,0,0,0.0,0
807132,0,"['Drame', 'Aventure', 'Familial']",en,65.534,2022-12-29,0,103,6.2,5
495764,75000000,"['Action', 'Crime']",en,65.528,2020-02-05,205372791,108,6.972,9372
758724,0,"['Horreur', 'Mystère']",en,65.42,2022-03-25,0,94,6.6,370
